age,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown
38,1,327,1,1,0,9,5,556,5,-1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
82,0,1381,0,0,0,28,5,844,5,181,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60,0,79,0,0,2,11,6,48,3,-1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
93,0,775,0,0,0,4,1,476,2,13,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
52,0,5361,0,0,0,5,1,607,3,-1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
42,0,27696,0,0,0,12,8,176,2,89,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
33,0,557,0,0,0,4,8,367,1,-1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
28,0,4513,1,0,2,27,8,167,3,-1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
34,0,2374,1,0,0,9,9,161,1,209,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
56,0,1989,0,0,0,3,3,336,2,281,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
57,0,1318,0,0,0,16,10,115,1,185,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
61,0,0,1,1,1,18,1,280,13,-1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
30,0,0,0,0,0,15,5,716,3,-1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
61,0,77,0,0,0,6,1,455,4,-1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
34,0,5086,0,0,0,25,8,213,4,-1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24,0,867,1,0,2,20,6,546,10,-1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
52,0,1490,0,1,2,17,6,420,4,-1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
31,0,1129,1,0,0,18,8,145,3,-1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
62,0,0,0,0,0,13,9,227,2,-1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
52,0,1005,1,0,0,2,6,195,1,-1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
34,0,1031,1,0,2,29,8,751,3,-1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
36,0,255,0,0,0,22,8,970,2,92,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
42,0,994,1,0,0,11,1,149,1,78,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
29,0,1026,0,0,0,12,3,138,2,92,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
50,0,5024,1,1,0,7,8,661,1,267,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
33,0,3161,1,0,0,2,0,313,3,-1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
29,0,192,0,0,0,30,4,327,4,-1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
32,0,0,0,0,0,22,1,360,2,-1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
23,0,854,1,0,2,28,8,664,2,-1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
54,0,215,1,0,2,4,6,71,5,-1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
33,0,272,1,0,0,1,11,293,2,92,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
30,0,526,1,1,2,26,6,677,3,-1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
31,0,6374,1,0,2,23,8,922,2,-1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
42,0,466,0,0,0,28,4,48,1,-1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
20,0,2785,0,0,0,16,11,327,2,-1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
26,0,409,1,0,0,21,5,577,2,-1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
51,0,130,0,0,0,22,1,547,3,-1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
54,0,0,1,1,0,29,4,309,3,-1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
32,0,7290,1,0,0,18,8,357,1,-1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
47,0,3696,0,0,0,12,5,250,2,181,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
46,0,640,1,0,0,12,7,215,1,182,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
28,0,254,1,0,0,20,0,149,2,-1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
60,0,29184,0,0,1,15,6,94,2,-1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
52,0,0,1,0,0,1,6,144,1,83,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
47,0,2408,0,0,0,30,0,376,1,-1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
38,0,590,0,0,0,31,5,49,2,-1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
42,0,281,1,0,2,15,8,118,1,-1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
39,0,3832,1,0,2,20,6,14,13,-1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
39,0,260,1,0,0,11,1,175,2,116,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
49,0,459,1,0,2,19,8,58,10,-1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
43,0,2643,0,0,0,12,1,188,3,100,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
47,0,4693,0,1,0,12,9,89,1,97,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
52,0,436,0,1,2,22,7,95,1,-1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
39,0,3494,1,0,0,19,9,139,1,92,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
45,0,54,1,0,1,13,8,107,3,-1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37,0,1775,0,0,0,15,5,514,5,-1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
50,0,77,0,0,0,27,8,138,2,-1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
29,0,514,0,0,0,2,3,270,1,-1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
40,0,84,0,0,0,28,1,715,8,-1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
42,0,314,0,0,2,9,6,249,2,-1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
35,0,27,1,0,0,25,8,214,1,305,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
