age,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown
53,0,1945,0,0,1,7,1,262,7,-1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
31,0,1224,1,1,0,24,5,1441,2,-1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
34,0,212,0,0,0,25,7,278,8,-1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
39,0,-119,0,0,2,17,6,135,6,-1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
24,0,8165,0,0,0,15,11,216,1,-1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
31,0,-302,0,0,0,13,1,195,2,-1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
78,0,55,0,0,1,5,9,143,3,90,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
31,0,313,1,0,0,27,1,114,2,-1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
40,0,54,1,0,0,13,8,10,5,362,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
53,0,291,0,0,2,23,5,145,1,-1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41,0,167,0,0,2,20,6,48,1,-1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
36,0,199,1,0,0,9,5,183,1,-1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
57,0,687,1,1,1,21,5,107,3,-1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
63,0,3115,0,0,0,16,9,432,5,-1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
27,0,3933,0,0,0,28,5,837,3,-1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
45,0,27,1,1,0,31,5,43,2,-1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
30,1,23,0,1,0,4,3,149,2,-1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
31,0,33,1,0,2,15,8,214,4,-1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
26,0,463,0,1,0,2,5,248,2,-1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
37,0,4769,0,0,0,29,4,124,1,-1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
37,0,4721,0,0,1,28,4,46,1,-1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
38,0,2600,1,0,0,19,9,67,1,-1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
35,0,557,1,0,0,17,6,54,4,-1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
43,0,1336,1,1,0,27,8,82,2,309,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
41,0,22,1,0,0,18,9,238,3,126,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
41,0,3851,0,0,0,19,9,130,1,-1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
40,0,1327,1,1,2,26,8,76,2,-1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
47,0,3957,1,0,1,11,8,58,3,334,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
54,0,0,0,0,0,30,5,255,2,-1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
